Name,Genre,Developer,dev_link,rating,total,five,four,three,two,one
Stickman jailbreak 9,Casual,Starodymov games,https://play.google.com/store/apps/dev?id=7543058881021696216,4.4,1220,116,21,60,103,920
Pokemon Pro Collection - Free G.B.A Classic Game,Adventure,plasne,https://play.google.com/store/apps/developer?id=plasne,4.5,832,51,6,42,70,663
Forage Tractor Farming Drive,Simulation,HATCOM Inc.,https://play.google.com/store/apps/dev?id=6427388348363567691,4.3,353,41,6,17,21,268
Tricky Bike Racing With Crazy Rider 3D,Racing,Vasundhara Game Studios,https://play.google.com/store/apps/developer?id=Vasundhara+Game+Studios,4.4,68,7,0,3,7,51
10th & 12th Board Result 2018 & Check Answer Sheet,Education,Indian App Store,https://play.google.com/store/apps/developer?id=Indian+App+Store,4.9,244,4,2,2,5,231
City Ambulance Rescue Simulator Games,Simulation,Gamers Trend,https://play.google.com/store/apps/dev?id=8517959265305990625,4.6,24,2,0,0,2,20
Live Chat - Random Video Chat,Communication,Cricketian Developers,https://play.google.com/store/apps/developer?id=Cricketian+Developers,4.4,34,2,0,5,1,26
QR/Barcode Scanner,Tools,SRK Games,https://play.google.com/store/apps/developer?id=SRK+Games,4.5,45,2,0,4,5,34
Wings of Fire - Drone Fly  Fighter,Simulation,Standard Games Studios,https://play.google.com/store/apps/developer?id=Standard+Games+Studios,4.4,48,6,1,1,1,39
Fantasy11-Dream11 Match prediction,Sports,KYC TECHNO Ltd.,https://play.google.com/store/apps/developer?id=KYC+TECHNO+Ltd.,3.9,50,9,1,6,5,29
Aadhar Card Link to Mobile Number,Tools,Khabari Appz,https://play.google.com/store/apps/developer?id=Khabari+Appz,4.3,41,5,1,2,2,31
Airplane Flight Adventure: Games for Landing,Simulation,Step Up Game Studios,https://play.google.com/store/apps/dev?id=5286320531054919482,4.4,37,4,1,1,1,30
Live IPL TV,Sports,Super Lite Apps,https://play.google.com/store/apps/developer?id=Super+Lite+Apps,4.1,68,13,0,5,2,48
PAPER Anne,Adventure,UsFun Games,https://play.google.com/store/apps/developer?id=UsFun+Games,3.4,500,136,32,62,52,218
Aadhar Card Scanner,Tools,Khabari Appz,https://play.google.com/store/apps/developer?id=Khabari+Appz,3.8,27,7,0,2,1,17
Elfcraft - Match and crush 3 Stones,Casual,Tivola,https://play.google.com/store/apps/dev?id=8927372468482477196,4.2,43,4,1,6,5,27
Moto Highway Rider,Racing,TerranDroid,https://play.google.com/store/apps/developer?id=TerranDroid,4.4,721,46,6,69,97,503
Zoom Hd Camera,Photography,Samtex,https://play.google.com/store/apps/developer?id=Samtex,4.6,78,3,0,7,6,62
XX HD Movie Player 2018 : HD Video Player,Video Players & Editors,Smile HD Studio,https://play.google.com/store/apps/developer?id=Smile+HD+Studio,4.3,40,6,0,2,1,31
Resume Maker : CV Maker App with Templates,Business,The App Company INC,https://play.google.com/store/apps/developer?id=The+App+Company+INC,3.2,49,16,3,3,7,20
Diner Match 3,Adventure,Free Bubble Shooter Games,https://play.google.com/store/apps/developer?id=Free+Bubble+Shooter+Games,4.5,43,1,0,6,6,30
Motorbike Stunt Master 2018,Simulation,Gameza Inc,https://play.google.com/store/apps/developer?id=Gameza+Inc,4.2,92,13,4,2,7,66
Game Tekken 3 Guide 2018 Reborn,Entertainment,Ikinokoru Ltd,https://play.google.com/store/apps/developer?id=Ikinokoru+Ltd,4.6,13,1,0,0,1,11
Tractor Driving in Farm – Extreme Transport Games,Simulation,Step Up Game Studios,https://play.google.com/store/apps/dev?id=5286320531054919482,4.4,84,7,2,3,7,65
Airplane Hijack: Rescue Mission,Action,Standard Games Studios,https://play.google.com/store/apps/developer?id=Standard+Games+Studios,4.2,167,21,5,10,14,117
360 Camera: Making You The Best,Photography,Foxcam,https://play.google.com/store/apps/developer?id=Foxcam,4.5,542,20,10,43,63,406
